Range,Velocity,Energy,Trajectory,Come Up (MOA),Come Up (MILS),Wind Drift,Wind Drift (MOA),Wind Drift (MILS)
0,2550,2382,-1.5,0,0,0,0,0
25,2501,2292,0,-0.1,0,0,0,0
50,2453,2204,1.2,-2.2,-0.6,0,0,0
75,2405,2119,2,-2.5,-0.7,0,0,0
100,2358,2037,2.4,-2.3,-0.7,0,0,0
125,2311,1957,2.4,-1.8,-0.5,0,0,0
150,2265,1880,2,-1.3,-0.4,0,0,0
175,2220,1805,1.2,-0.7,-0.2,0,0,0
200,2175,1732,0,0,0,0,0,0
225,2130,1662,-1.7,0.7,0.2,0,0,0
250,2086,1594,-3.9,1.5,0.4,0,0,0
275,2042,1528,-6.6,2.3,0.7,0,0,0
300,1999,1465,-9.8,3.1,0.9,0,0,0
325,1957,1403,-13.5,4,1.2,0,0,0
350,1915,1344,-17.8,4.9,1.4,0,0,0
375,1874,1286,-22.7,5.8,1.7,0,0,0
400,1833,1231,-28.3,6.7,2,0,0,0
425,1793,1178,-34.4,7.7,2.2,0,0,0
450,1754,1127,-41.3,8.8,2.5,0,0,0
475,1715,1077,-48.8,9.8,2.9,0,0,0
500,1677,1030,-57.1,10.9,3.2,0,0,0
525,1639,985,-66.2,12,3.5,0,0,0
550,1603,941,-76.1,13.2,3.8,0,0,0
575,1567,899,-86.8,14.4,4.2,0,0,0
600,1532,859,-98.4,15.7,4.6,0,0,0
625,1497,821,-110.9,16.9,4.9,0,0,0
650,1464,785,-124.4,18.3,5.3,0,0,0
675,1431,750,-138.9,19.7,5.7,0,0,0
700,1399,717,-154.5,21.1,6.1,0,0,0
725,1368,686,-171.2,22.5,6.6,0,0,0
750,1338,656,-189,24.1,7,0,0,0
775,1309,628,-208.1,25.6,7.5,0,0,0
800,1282,602,-228.4,27.3,7.9,0,0,0
825,1255,577,-250.1,28.9,8.4,0,0,0
850,1230,554,-273.1,30.7,8.9,0,0,0
875,1205,532,-297.6,32.5,9.4,0,0,0
900,1182,512,-323.5,34.3,10,0,0,0
925,1161,494,-351,36.2,10.5,0,0,0
950,1140,476,-380.3,38.2,11.1,0,0,0
975,1121,460,-411.1,40.3,11.7,0,0,0
1000,1103,446,-443.7,42.4,12.3,0,0,0
1025,1086,432,-478,44.5,13,0,0,0
1050,1070,420,-514.1,46.8,13.6,0,0,0
1075,1055,408,-552.2,49,14.3,0,0,0
1100,1041,397,-592.2,51.4,15,0,0,0
1125,1028,387,-634.2,53.8,15.7,0,0,0
1150,1015,378,-678.5,56.3,16.4,0,0,0
1175,1003,369,-724.7,58.9,17.1,0,0,0
1200,992,361,-773,61.5,17.9,0,0,0
1225,981,353,-823.5,64.2,18.7,0,0,0
1250,971,345,-876.7,67,19.5,0,0,0
1275,961,338,-931.8,69.8,20.3,0,0,0
1300,951,332,-989.2,72.6,21.1,0,0,0
1325,942,325,-1049.4,75.6,22,0,0,0
1350,933,319,-1111.7,78.6,22.9,0,0,0
1375,924,313,-1176.4,81.7,23.8,0,0,0
1400,916,307,-1244.2,84.8,24.7,0,0,0
1425,908,302,-1314.1,88,25.6,0,0,0
1450,900,297,-1387,91.3,26.6,0,0,0
1475,892,292,-1462.2,94.6,27.5,0,0,0
1500,885,287,-1540.6,98,28.5,0,0,0
1525,878,282,-1621.3,101.5,29.5,0,0,0
1550,871,278,-1705.3,105,30.6,0,0,0
1575,864,273,-1792.2,108.6,31.6,0,0,0
1600,857,269,-1881.5,112.3,32.7,0,0,0
1625,850,265,-1974.2,116,33.7,0,0,0
1650,844,261,-2070,119.7,34.8,0,0,0
1675,837,257,-2168.9,123.6,36,0,0,0
1700,831,253,-2270.8,127.5,37.1,0,0,0
1725,825,249,-2375.9,131.5,38.2,0,0,0
1750,819,246,-2484.2,135.5,39.4,0,0,0
1775,813,242,-2595.8,139.6,40.6,0,0,0
1800,807,239,-2710.6,143.7,41.8,0,0,0
1825,801,235,-2829.5,148,43,0,0,0
1850,796,232,-2951.1,152.2,44.3,0,0,0
1875,790,229,-3076.9,156.6,45.5,0,0,0
1900,785,226,-3205.3,161,46.8,0,0,0
1925,779,222,-3338.1,165.5,48.1,0,0,0
1950,774,219,-3473.6,170,49.4,0,0,0
1975,769,217,-3613.7,174.6,50.8,0,0,0
2000,764,214,-3757.4,179.2,52.1,0,0,0
